ID,path,title,authors,translators,author_uris,translator_uris,original_language,genre,source_edition
10,/p23/m10,חצי-נחמה,אחד העם,"",https://wikidata.org/wiki/Q380425,"","",Translation missing: he.article,""
11,/p31/m11,אֲגָדַת הַהֵיכָל,אירה יאן,"",https://wikidata.org/wiki/Q4203038,"","",Translation missing: he.article,""
16,/p46/m16,לידידי הרב החכם רב־הפעלים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
17,/p87/m17,יצחק מאיר בילדותו,עזריאל נתן פרנק,"",https://wikidata.org/wiki/Q9251083,"","",Translation missing: he.prose,""
18,/p66/m18,פת לחם,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.prose,"ע""פ “כתבים”, כרכים א‘-ב’, תל-אביב: הקיבוץ המאוחד, תשל“ח-תשמ”ה"
19,/p141/m19,הֲלָךְ נֶפֶשׁ,רחל בלובשטיין,"",https://wikidata.org/wiki/Q241180,"","",Translation missing: he.poetry,"מתוך ""רחל: שירים מכתבים רשימות קורות חייה"", בעריכת אורי מילשטיין, תל אביב: זמורה ביתן, תשמ""ה 1985"
20,/p89/m20,אל הציפור,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
21,/p89/m21,מִשּׁוּט בַּמֶּרְחַקִּים,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
22,/p67/m22,בורגני וחלוץ עני: זמר לעם,קדיש יהודה סילמן,"",https://wikidata.org/wiki/Q12410952,"","",Translation missing: he.poetry,"מתוך ""זמרי עם"", ירושלים: לכו נרננה, תרפ""ז 1927."
23,/p89/m23,הִרְהוּרֵי לָיְלָה,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
24,/p89/m24,על אילת השחר,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
25,/p89/m25,בִּתְשׁוּבָתִי,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
28,/p33/m28,מעל מכסה האניה,אלחנן ליב לוינסקי,"",https://wikidata.org/wiki/Q7017172,"","",Translation missing: he.prose,""
30,/p51/m30,נביא דורנו,שמריהו לוין,"",https://wikidata.org/wiki/Q119618,"","",Translation missing: he.article,""
31,/p14/m31,[שַׁד הָרִמּוֹן],אברהם שטרן,"",https://wikidata.org/wiki/Q461846,"","",Translation missing: he.poetry,""
32,/p170/m32,[כִּסְעִיף הֲדַס תִּטֶּה צְבִיָּה],משה אבן עזרא,"",https://wikidata.org/wiki/Q719393,"","",Translation missing: he.poetry,""
33,/p21/m33,הַתַּכְרִיך,אברהם שלום פרידברג,"",https://wikidata.org/wiki/Q4249304,"","",Translation missing: he.prose,ורשה: אחיאסף 
34,/p13/m34,מעל המגדל,אהרן אברהם קבק,"",https://wikidata.org/wiki/Q399957,"","",Translation missing: he.prose,ורשה: ספרות
35,/p46/m35,הַשָּׂב וּשְׁלֹשֶת הַנְּעָרִים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
36,/p46/m36,"לאיס""י [הבבלי]",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
37,/p46/m37,קרית ספר,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.prose,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
38,/p46/m38,השיר הראשון,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
39,/p46/m39,הֶחָכָם וְהַמְּשֻגָּע,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
40,/p46/m40,שני ימים ולילה אחד בבית מלון אורחים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.prose,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
41,/p46/m41,בַּעֲלוֹת הַשַּׁחַר,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
42,/p46/m42,"לאיס""י [איש חמודות]",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
43,/p39/m43,פרקים: עובדות נשכחות מעבודת ההסתדרות הציונית,זלמן דוד לבונטין,"",https://wikidata.org/wiki/Q145159,"","",Translation missing: he.memoir,""
44,/p46/m44,עֶשֶׁת בַּרְזֶל וַחֲצֹצְרָה,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
46,/p46/m46,[קוֹל רַעַם בַּגַּלְגַּל הִרְגִּיז רָקִיעַ],לאופולד שפר,יהודה ליב גורדון,https://wikidata.org/wiki/Q62805,https://wikidata.org/wiki/Q1376036,de,Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
47,/p46/m47,לאברהם יעקב סלוצקי,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
48,/p46/m48,אחרי מות [על מיכה יוסף הכהן לעבענזאהן],יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
49,/p66/m49,שָׁמָּה,יוסף חיים ברנר,"",https://wikidata.org/wiki/Q939732,"","",Translation missing: he.prose,"ע""פ “כתבים”, כרכים א‘-ב’, תל-אביב: הקיבוץ המאוחד, תשל“ח-תשמ”ה"
50,/p57/m50,הֲרֵי אַתְּ מְקֻסֶּמֶת לִי,שאול טשרניחובסקי,"",https://wikidata.org/wiki/Q521410,"","",Translation missing: he.poetry,"מתוך ""שירי שאול טשרניחובסקי"", תל אביב: דביר, תשכ""ח"
51,/p46/m51,שִׁלְהֵי קַיְטָא,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
52,/p186/m52,האחת והשנית,ישעיהו ברשדסקי,"",https://wikidata.org/wiki/Q7064133,"","",Translation missing: he.prose,"מתוך סיפורים, הוצאת תושיה, ורשה, תר""ע"
53,/p46/m53,לְיִשְׂרָאֵל מוֹכֵר הַמַּשְׁקֶה,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
54,/p89/m54,מִקְרָאֵי צִיּוֹן,חיים נחמן ביאליק,"",https://wikidata.org/wiki/Q359705,"","",Translation missing: he.poetry,"תל אביב: דביר, תשל""ג"
55,/p46/m55,וְשָׂמַחְתָּ בְחַגֶּךָ,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
56,/p46/m56,תל־אביב,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
57,/p46/m57,"להנ""ל – בְּמִכְתַּב תַּנְחוּמִים",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
59,/p46/m59,בַּת יִפְתָּח בְּטֶרֶם מוּתָהּ,לורד ביירון,יהודה ליב גורדון,https://wikidata.org/wiki/Q5679,https://wikidata.org/wiki/Q1376036,en,Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
60,/p46/m60,יַעֲלַת סֶלַע וְהַנֶּשֶׁר,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
61,/p46/m61,לְמֵאִיר לֶטֶרִיס,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
62,/p46/m62,צְבִי מֻדָּח,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
63,/p46/m63,לַחֲבֵרִי בְּהֵיכַל שִׁירָתֵנוּ וּשְׁכֵנִי בְּחַצְרוֹת אֱלֹהֵינוּ הר“ר מנחם דאליצקי,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
64,/p46/m64,אני ישן ולבי ער,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.prose,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
65,/p46/m65,מִכְתָּב בַּחֲרוּזִים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
66,/p46/m66,הַשּׁוּעָל וְהַזְּאֵב [מַדּוּעַ זֶה תַּחַת יָרֵחַ],יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
68,/p46/m68,לעמנואל סאלאווייציק,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
69,/p46/m69,בִּקּוּר חֹלִים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
70,/p46/m70,אל יאשם יהודה,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
71,/p46/m71,דִּבְרֵי שְׁכִיב־מְרַע,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
72,/p46/m72,"להנ""ל [מימי]",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
73,/p46/m73,אַחֲרוֹן אַחֲרוֹן חָבִיב,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
74,/p117/m74,אב ובנו [ב],יהודה שטיינברג,"",https://wikidata.org/wiki/Q4526788,"","",Translation missing: he.prose,""
75,/p46/m75,מכתב מאת יהודה לשרה החמודה,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
76,/p46/m76,"אַחֲרֵי מוֹת שַׁדָּ""ל",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
77,/p46/m77,למגיה הספרים,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
78,/p46/m78,"הר""ר חיים יונה גורלאנד",יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
79,/p46/m79,הַזְּאֵב וְהַכֶּלֶב הָרָזֶה,יהודה ליב גורדון,"",https://wikidata.org/wiki/Q1376036,"","",Translation missing: he.poetry,"מתוך ""כתבי יהודה ליב גורדון"", תל אביב: דביר, תשי""ט 1959"
